cod_fundo;nome;classe;situaçao;inicio;atualização
80136; ITAU FLEXPREV CORPORATE VII FC RF; PrevidÃªncia; A; 2000-08-22; 2020-08-12T13
80209; IU BNP PARIBAS CORPORATE VI FI RF; PrevidÃªncia; A; 2000-08-22; 2019-11-01T15
80233; BNP PARIBAS FMP FGTS;ações; A; 2000-08-17; 2015-10-02T21
80241; CAIXA FMP FGTS PETROBRAS IV;ações; A; 2000-08-17; 2019-03-08T16
80268; CAIXA FMP FGTS PETROBRAS III;ações; A; 2000-08-17; 2019-03-08T16
80284; CAIXA FMP FGTS PETROBRAS II;ações; A; 2000-08-17; 2019-03-08T16
80292; CAIXA FI ACOES PETROBRAS;ações; A; 2000-07-10; 2019-07-05T15
80306; CAIXA FIC ABSOLUTO PRE RF LP; Renda Fixa; A; 2000-01-03; 2018-09-19T15
80330; CAIXA FIC SOBERANO RF LONGO PRAZO; Renda Fixa; A; 1998-03-11; 2018-09-18T15
80349; SAFRA PRIVAT-FGTS PETROBRAS;ações; A; 2000-08-17; 2016-10-07T16
80381; ALFA VIII - FMP - FGTS PETROBRAS;ações; A; 2000-08-17; 2019-09-05T17
80391; ALFA VII - FMP - FGTS PETROBRAS;ações; A; 2000-08-17; 2019-09-05T17
80411; ALFA I - FMP - FGTS PETROBRAS;ações; A; 2000-08-17; 2019-09-05T17
80462; BRADESCO FGTS PRIVATE IV PETROBRAS;ações; A; 2000-08-17; 2019-07-01T18
80489; BRADESCO FGTS PETROBRAS;ações; A; 2000-08-17; 2019-07-01T18
80497; BRADESCO FGTS PRIVATE III PETROBRAS;ações; A; 2000-08-17; 2019-07-01T18
80543; BRADESCO FI MULTIMERCADO TEAM; Multimercados; A; 2000-08-01; 2020-02-12T12
80624; BRASIL PLURAL FMP - FGTS PETROBRAS;ações; A; 2000-08-17; 2019-08-07T17
80713; SANTANDER FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2019-07-01T18
80721; ALFA II ACOES FIA PETROBRAS;ações; A; 2000-07-17; 2019-06-04T16
80748; BRADESCO H FMP-FGTS PETROBRAS;ações; A; 2000-08-17; 2019-06-13T11
80764; ITAU FLEXPREV CORPORATE RV49 FICFI MULT; PrevidÃªncia; A; 2000-09-01; 2019-11-01T17
80780; FDO PACTUAL FGTS PETROBRAS;ações; A; 2000-08-18; 2015-10-02T21
80829; WA DI SPECIAL FC FI RF REFERENCIADO; Renda Fixa; A; 2000-09-06; 2018-12-10T19
80871; SANT FIC FI PREV RFA RF CRED PRIV; PrevidÃªncia; A; 2000-09-01; 2019-11-01T15
81116; DREYFUS BRASCAN CLIC FMP FGTS PETROBRAS;ações; E; 2000-08-17; 2019-12-26T16
81132; ALFA III FMP FGTS PETROBRAS;ações; A; 2000-08-17; 2019-09-05T17
81302; MAGLIANO FGTS - PETROBRAS;ações; A; 2000-08-17; 2016-10-07T16
81469; STAR SINGLE MULT CRED PRIV IE FI; Multimercados; A; 2000-09-28; 2018-07-06T10
81531; SANT FIC FI PREV RFB RF CRED PRIV; PrevidÃªncia; A; 2000-09-29; 2019-11-01T15
81655; BB RF REF DI LP VIP FC; Renda Fixa; A; 2000-09-29; 2019-11-11T15
81681; BB RF  REFERENCIADO DI LP 90 MIL FC; Renda Fixa; A; 2000-09-29; 2018-04-25T15
81698; BB RF LP CORPORATE FC; Renda Fixa; A; 2000-09-29; 2019-11-05T16
81736; BB RENDA FIXA LP 90MIL FIC FI; Renda Fixa; A; 2000-09-29; 2018-04-20T12
81795; BB CAMBIAL DOLAR LP VIP FC FI; Cambial; A; 2000-09-29; 2019-08-27T17
81809; BRASILPREV MULTIMERCADO DINAMICO I FC; PrevidÃªncia; A; 2000-10-02; 2020-03-27T16
81922; BB RF REF DI LP CORP 400 MIL FC; Renda Fixa; E; 2000-09-29; 2020-01-28T16
81930; BB TOP MULTI MODERADO LP FI; Multimercados; A; 2000-09-29; 2017-12-08T12
82090; IMP PRIVATE 22 FICFI MULTIMERCADO; Multimercados; A; 2000-10-05; 2019-07-02T17
82392; ATALAIA QUANT INSTITUCIONAL MULT FI; Multimercados; A; 2000-10-05; 2020-01-10T16
82406; BTG PA IC S MO FIC FI MULT CRED PRIV PRE; PrevidÃªncia; A; 1999-12-30; 2019-11-01T16
82414; BTG PA I C C H Y P FIC FI RF CRED PRIV P; PrevidÃªncia; A; 1999-12-30; 2020-07-02T16
82422; BTG PA IC S D 49 FIC FI MULT CRED PRIV P; PrevidÃªncia; A; 1999-12-23; 2019-11-01T15
82511; SANTANDER PERFORMANCE FIX RF LP FC FI; Renda Fixa; A; 2000-09-05; 2020-05-29T16
82562; BRADESCO PRIME H FC FI RF LP; Renda Fixa; A; 2000-10-18; 2018-05-10T18
82589; BRADESCO PRIME H FC FI RF REF DI LP PLUS; Renda Fixa; A; 2000-10-18; 2017-11-28T18
82600; BRADESCO H FC FI RF REF DI LP 15.000; Renda Fixa; A; 2000-10-18; 2017-11-28T18
82724; SAFRA CARTEIRA CAMBIAL FI CAMBIAL; Cambial; A; 2000-10-27; 2019-11-27T16
82783; PLANO ACCOR DE PREV FI RF PGBL/VGBL; PrevidÃªncia; A; 2000-10-31; 2019-11-01T18
